"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",1
"9",0
"10",0
"11",0
"12",0
"13",1
"14",0
"15",1
"16",0
"17",0
"18",1
"19",1
"20",1
"21",1
"22",0
"23",0
"24",1
"25",0
"26",0
"27",1
"28",0
"29",0
"30",1
"31",0
"32",0
"33",0
"34",0
"35",0
"36",1
"37",0
"38",0
"39",0
"40",1
"41",0
"42",0
"43",0
"44",0
"45",0
"46",0
"47",0
"48",1
"49",0
"50",0
"51",0
"52",0
"53",0
"54",1
"55",1
"56",1
"57",0
"58",0
"59",0
"60",0
"61",1
"62",0
"63",1
"64",0
"65",0
"66",0
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",1
"75",1
"76",1
"77",0
"78",0
"79",0
"80",0
"81",0
"82",1
"83",0
"84",0
"85",0
"86",0
"87",0
"88",0
"89",0
"90",1
"91",0
"92",0
"93",0
"94",1
"95",0
"96",0
"97",0
"98",0
"99",0
"100",0
"101",0
"102",1
"103",1
"104",0
"105",0
"106",1
"107",0
"108",0
"109",0
"110",0
"111",0
"112",1
"113",1
"114",0
"115",0
"116",1
"117",0
"118",0
"119",1
"120",0
"121",0
"122",1
"123",0
"124",0
"125",0
"126",0
"127",1
"128",0
"129",0
"130",0
"131",1
"132",0
"133",0
"134",1
"135",0
"136",0
"137",0
"138",0
"139",0
"140",0
"141",0
"142",0
"143",0
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",1
"151",0
"152",0
"153",0
"154",0
"155",0
"156",1
"157",0
"158",1
"159",1
"160",1
"161",0
"162",0
"163",0
"164",1
"165",0
"166",0
"167",0
"168",0
"169",0
"170",1
"171",0
"172",1
"173",0
"174",0
"175",0
"176",0
"177",1
"178",0
"179",0
"180",1
"181",0
"182",1
"183",0
"184",0
"185",0
"186",1
"187",0
"188",0
"189",0
"190",0
"191",0
"192",0
"193",0
"194",1
"195",1
"196",0
"197",1
"198",0
"199",0
"200",0
"201",0
"202",0
"203",1
"204",0
"205",0
"206",1
"207",1
"208",0
"209",0
"210",1
"211",1
"212",0
"213",1
"214",1
"215",1
"216",1
"217",0
"218",0
"219",1
"220",1
"221",0
"222",0
"223",1
"224",0
